field_name,x,y,objectid,area,perimeter,ballfields,ballfiel_1,id,polygonid,scale,angle,point_x,point_y,dpw_name,cityid,active
McBride Park,-79.9077729864815,40.3689896541008,1,0,0,1,1,72,0,0,0,1367322.72197095,384617.78318127,Mcbride,P345,Yes
Carmalt School,-80.0064556571221,40.3865795191362,2,0,0,2,2,27,0,0,0,1339998.26743361,391710.7388116,Carmalt,P299,Yes
Sam Bryan 2,-80.0068809319637,40.3894431255962,3,0,0,3,3,24,0,0,0,1339906.4962917,392756.62549935,Sam Bryen #2,P394,Yes
Sam Bryan 1,-80.0070510934279,40.3897109808605,4,0,0,4,4,23,0,0,0,1339861.60628961,392855.38350394,Sam Bryen #1,P296,Yes
Brookline T-Ball,-80.0071834810022,40.3904561961366,5,0,0,5,5,22,0,0,0,1339831.67951219,393127.71629261,Officer Stephen J. Mayhle Memorial Park,P295,Yes
Overbrook Field 1,-79.9976472205538,40.3907647776351,6,0,0,6,6,88,0,0,0,1342489.99768636,393172.35170202,Overbrook  #1,P360,Yes
Panorama,-79.9228375794741,40.392530422613,7,0,0,7,7,90,0,0,0,1363337.3939836,393293.89607835,Panorama,P362,Yes
Overbrook Field 2,-79.9977141724258,40.3916650693057,8,0,0,8,8,89,0,0,0,1342479.70111902,393500.69290885,Overbrook  #2,P361,Yes
Dan McGibbeny,-80.0074224205681,40.3914951631815,9,0,0,9,9,21,0,0,0,1339774.81873353,393507.78541435,Danny McGibbeny Memorial Field,P294,Yes
Phillips Park,-79.9912229985695,40.392789884969,10,0,0,10,10,93,0,0,0,1344297.59676144,393864.37886126,Phillips,P365,Yes
Volunteers 2,-79.9924656832584,40.3964398530294,11,0,0,11,11,111,0,0,0,1343985.33130985,395202.40636894,Volunteers #2,P384,Yes
Volunteers 1,-79.9931480282433,40.3975950900325,12,0,0,12,12,110,0,0,0,1343806.03114353,395627.94554411,Volunteers #1,P383,Yes
Burgwin,-79.9373905497635,40.4040341081228,13,0,0,13,13,26,0,0,0,1359388.82051595,397583.42391661,Burgwin,P298,Yes
Moore Park 2,-80.0134860366462,40.4051772173233,14,0,0,14,14,82,0,0,0,1338214.11844286,398533.7015436,Moore  #2,P356,Yes
Moore Park 1,-80.012946652867,40.4053111761722,15,0,0,15,15,81,0,0,0,1338365.53185394,398578.63714927,Moore  #1,P355,Yes
Ray Miller,-79.9455934293865,40.4041279462507,16,0,0,16,16,13,0,0,0,1356921.02853553,398627.40739293,Ray Miller,P287,Yes
Banksville School,-80.0376195288861,40.407274383497,17,0,0,17,17,12,0,0,0,1331515.2292816,399470.59796377,Banksville School,P285,Yes
