objectid,unicode,name,facility_type,type_code,center,center_code,feature_name,website,capacity,access_to_fire_extinguisher,access_to_kitchenette,access_to_parking_lot,access_to_playground,access_to_restrooms,access_to_spray_park,access_to_vending_machines,ada_accessible_facility,ada_accessible_playground_near,ada_accessible_port_a_john_near,ada_accessible_restroom,bocci_court,furniture_chairs,furniture_tables,indoor_air_conditioning,indoor_audio_system,indoor_heating,indoor_television,outdoor_basketball_courts_nea,outdoor_fishing,outdoor_grill,outdoor_horseshoe_pits_near,outdoor_lake_view,outdoor_lighting,outdoor_swimming_pool_near,outdoor_volleyball,outdoor_water_spigot,outlet_data,outlet_power,outlet_telephone,pet_friendly,port_a_john_near,smoking_not_permitted,smoking_permitted,x,y
1664,,Four Seasons Activity Center,Building,10,Boyce Park,BP,Four Seasons Activity Center,https://www.alleghenycounty.us/parks/boyce/four-seasons-activity-center.aspx,250,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-79.74684986,40.46151907
1665,,Picnic Hut,Building,10,Boyce Park,BP,Picnic Hut,https://www.alleghenycounty.us/parks/boyce/picnic-hut.aspx,60,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,-79.74928914,40.45840898
1666,,Basketball Courts,Court - Basketball,31,Boyce Park,BP,Basketball Courts,https://www.alleghenycounty.us/parks/activities/basketball.aspx,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.73552962,40.47598926
1667,,Tennis Courts,Court - Tennis,32,Boyce Park,BP,Tennis Courts,https://www.alleghenycounty.us/parks/activities/tennis.aspx,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.73754807,40.47481549
1668,,Off Leash Dog Park 2,Dog Park,61,Boyce Park,BP,Off Leash Dog Park 2,<Null>,50,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.73512781,40.47396248
1669,,Off Leash Dog Park 1,Dog Park,61,Boyce Park,BP,Off Leash Dog Park 1,<Null>,,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,-79.7353492,40.47524117
1670,,New Texas Baseball Field,Field - Baseball,61,Boyce Park,BP,New Texas Baseball Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,50,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.73655939,40.47515699
1671,,Commissioners Field,Field - Multipurpose,61,Boyce Park,BP,Commissioners Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,50,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.74624619,40.45727975
1672,,Soccer Pavilion,Shelter,64,Boyce Park,BP,Soccer Pavilion,https://www.alleghenycounty.us/parks/boyce/soccer.aspx,50,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,-79.74785088,40.4739378
1673,,Soccer Field 3,Field - Soccer,64,Boyce Park,BP,Soccer Field 3,https://www.alleghenycounty.us/parks/boyce/soccer.aspx,50,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,-79.74736687,40.47538771
1674,,Wave Pool,Pool,120,Boyce Park,BP,Wave Pool,https://www.alleghenycounty.us/parks/activities/water-activities/pools.aspx,60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.74086516,40.45286091
1675,,Commissioners,Shelter,130,Boyce Park,BP,Commissioners,https://www.alleghenycounty.us/parks/boyce/commissioners.aspx,150,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.7457188,40.45784596
1676,,Cub,Shelter,130,Boyce Park,BP,Cub,https://www.alleghenycounty.us/parks/boyce/cub.aspx,80,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,-79.75253955,40.46947708
